Size_Rank,is_swarm,Type_aberration,Type_beast,Type_construct,Type_dragon,Type_elemental,Type_fiend,Type_giant,Type_humanoid,Type_monstrosity,Type_other,Type_undead,Is_Legendary,Is_Spellcaster,Log_Avg_HP,AC_Z,Strength_Z,Dexterity_Z,Constitution_Z,Intelligence_Z,Wisdom_Z,Charisma_Z,Max_Speed_Z,Trait_Count_MM,Action_Count_MM,Movement_Count_MM
3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.828641396489095,-0.9059820592073284,-1.0195093189552666,0.1726733974640955,-1.2706557350120815,1.1106808683539544,0.0562839041701653,0.0594659920202096,-0.4342075901391517,0.25,0.125,0.0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.6635616461296463,-0.2313596932876528,-0.8529454471938389,1.3706616154321591,-0.7928290910980036,0.4061164676882534,0.3379344123158082,0.7680216884694849,-0.4342075901391517,0.25,0.125,0.3333333333333333
4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.07753744390572,0.105951489672185,-0.0201260883867005,0.7716675064481274,-0.7928290910980036,0.7583986680211038,0.6195849204614512,0.7680216884694849,-0.4342075901391517,0.0,0.0,0.0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.351858133476067,0.7805738555918607,-0.6863815754324112,0.7716675064481274,0.1628241967301525,1.63910416885323,0.3379344123158082,0.7680216884694849,-0.4342075901391517,0.5,0.5,0.3333333333333333
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.852030263919617,-1.917915608086842,0.6461293986590101,-1.324811874995984,0.6406508406442306,-0.8268712334767233,-0.7886676202667634,-1.180506476766022,-0.4342075901391517,0.5,0.125,0.0
6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.017279836814924,0.105951489672185,0.9792571421818654,-0.4263207115199362,-0.0760891252268864,0.5822575678546786,1.182885936752737,0.7680216884694849,1.117402339586361,0.125,0.25,0.6666666666666667
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.772588722239781,-0.5686708762474907,0.1464377833747271,-0.4263207115199362,0.1628241967301525,-0.650730133310298,-0.5070171121211206,-0.2948118562044279,-0.4342075901391517,0.0,0.125,0.0
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.970291913552122,0.4432626726320228,0.3130016551361548,-2.522800092964048,1.1184774845583088,-1.355294533975999,-0.7886676202667634,-1.180506476766022,-1.4686142099561603,0.0,0.375,0.0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.332204510175204,-0.5686708762474907,-0.6863815754324112,0.1726733974640955,-1.2706557350120815,0.934539768187529,0.0562839041701653,0.4137438402448473,-0.4342075901391517,0.125,0.25,0.0
3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.584967478670572,0.7805738555918607,0.4795655268975825,-1.025314820503968,0.4017375186871916,0.0538342673554029,1.46453644489838,0.7680216884694849,-0.951410900047656,0.25,0.5,0.0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.5263605246161616,-0.2313596932876528,-1.5192009342395496,0.4721704519561114,-0.3150024471839255,0.7583986680211038,-1.0703181284124064,0.7680216884694849,-0.6928092450934038,0.125,0.125,0.0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.302585092994046,-0.5686708762474907,-0.3532538319095559,-0.7258177660119521,-1.0317424130550426,-0.4745890331438728,-0.5070171121211206,-0.6490897044290656,-0.4342075901391517,0.0,0.0,0.0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.709530201312334,1.7925074044713742,0.6461293986590101,-1.025314820503968,-0.3150024471839255,0.2299753675218281,0.901235428607094,0.7680216884694849,-0.4342075901391517,0.0,0.25,0.0
4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.823045895483019,2.129818587431212,1.812076500989004,0.1726733974640955,2.074130772386465,1.9913863691860805,1.46453644489838,2.1851330813680354,1.117402339586361,0.375,0.5,0.3333333333333333
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.833213344056216,-0.9059820592073284,-1.5192009342395496,0.1726733974640955,-0.5539157691409645,-0.8268712334767233,-0.7886676202667634,-0.6490897044290656,0.0829957197693525,0.25,0.0,0.0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0943445622221,-0.5686708762474907,0.6461293986590101,-2.223303038472032,-0.0760891252268864,-0.1223068328110223,-0.7886676202667634,-0.8262286285413843,-0.951410900047656,0.125,0.0,0.0
